Datetime,Modified Julian Day,Seconds of Day,Status_x,Proton Density,Bulk Speed,Ion Temperature,Status_y,Bx,By,Bz,Bt,Latitude,Longitude,Forecast,North-Hemispheric-Power-Index (GigaWatts),South-Hemispheric-Power-Index (GigaWatts)
2025-01-17 13:39:00,60692,49140,0,2.9,534.9,2.18e+05,0,1.9,-6.9,-4.1,8.2,-29.7,285.7,,,
2025-01-17 13:40:00,60692,49200,0,2.4,545.9,1.66e+05,0,4.1,-7.0,-1.2,8.2,-8.6,300.1,2025-01-17_14:27,28,25
2025-01-17 13:41:00,60692,49260,0,3.0,538.6,2.02e+05,0,3.8,-6.0,-3.8,8.0,-28.0,302.2,2025-01-17_14:27,28,25
2025-01-17 13:42:00,60692,49320,0,3.0,542.1,2.12e+05,0,3.3,-5.5,-4.8,8.0,-36.9,301.0,2025-01-17_14:27,28,25
2025-01-17 13:43:00,60692,49380,0,3.8,558.3,2.89e+05,0,2.8,-4.9,-2.3,6.1,-22.8,299.7,2025-01-17_14:27,28,25
2025-01-17 13:44:00,60692,49440,1,3.0,533.4,2.32e+05,0,4.6,-5.4,2.5,7.6,19.5,310.7,2025-01-17_14:27,28,25
2025-01-17 13:45:00,60692,49500,1,2.5,519.1,1.81e+05,0,5.3,-3.6,4.2,7.7,33.5,325.4,2025-01-17_14:32,29,25
2025-01-17 13:46:00,60692,49560,1,2.7,527.9,2.03e+05,0,4.5,-4.6,4.1,7.6,32.4,314.9,2025-01-17_14:32,29,25
2025-01-17 13:47:00,60692,49620,0,3.2,537.1,2.22e+05,0,3.8,-6.2,1.1,7.3,8.9,301.7,2025-01-17_14:32,29,25
2025-01-17 13:48:00,60692,49680,1,3.4,548.7,2.80e+05,0,4.1,-3.6,4.6,7.1,40.0,319.0,2025-01-17_14:32,29,25
2025-01-17 13:49:00,60692,49740,1,4.9,525.2,2.17e+05,0,4.8,-1.7,5.3,7.4,46.5,340.5,2025-01-17_14:32,29,25
2025-01-17 13:50:00,60692,49800,0,6.6,489.0,9.01e+04,0,4.8,-5.8,1.5,7.7,11.4,309.1,2025-01-17_14:37,28,25
2025-01-17 13:51:00,60692,49860,3,-9999.9,-9999.9,-1.00e+05,0,2.9,-7.3,0.8,7.9,6.1,291.7,2025-01-17_14:37,28,25
2025-01-17 13:52:00,60692,49920,3,-9999.9,-9999.9,-1.00e+05,0,3.5,-6.9,0.5,7.8,3.7,297.1,2025-01-17_14:37,28,25
2025-01-17 13:53:00,60692,49980,0,2.5,530.6,1.81e+05,0,3.3,-6.6,2.0,7.7,14.9,296.4,2025-01-17_14:37,28,25
2025-01-17 13:54:00,60692,50040,0,3.0,543.7,2.66e+05,0,2.0,-7.5,-1.1,7.9,-8.0,285.2,2025-01-17_14:37,28,25
2025-01-17 13:55:00,60692,50100,0,2.3,552.1,2.13e+05,0,1.2,-5.9,-5.3,8.0,-41.5,281.7,2025-01-17_14:42,28,24
2025-01-17 13:56:00,60692,50160,0,2.2,554.7,1.44e+05,0,1.0,-4.8,-6.8,8.3,-54.2,281.8,2025-01-17_14:42,28,24
2025-01-17 13:57:00,60692,50220,0,3.8,586.0,2.85e+05,0,1.2,-4.6,-7.1,8.5,-56.0,284.6,2025-01-17_14:42,28,24
2025-01-17 13:58:00,60692,50280,0,3.6,567.1,2.90e+05,0,1.5,-4.0,-7.3,8.5,-60.0,290.0,2025-01-17_14:42,28,24
2025-01-17 13:59:00,60692,50340,0,3.1,577.5,2.12e+05,0,-1.1,-4.4,-7.2,8.5,-57.8,256.1,2025-01-17_14:42,28,24
2025-01-17 14:00:00,60692,50400,0,3.3,595.0,2.41e+05,0,-0.9,-4.0,-7.6,8.6,-61.6,257.5,2025-01-17_14:47,29,25
